
New Tag Number,Exsisting Tag number,Asset  category,Item Description,Serial No / DP,Make/Brand,Model NO,SERVICE TAG / MAC,Department,Building ,Floor,Room,REMARKS
A-IT-DES-0362,SMC-I.T-DEC-111,DESKTOP,DELL OPTIPLEX 9020,H9KHG A01,DELL,9020,C4LH622,IT DEPRATMENT,ADMIN,1ST,OPEN AREA,Check Asset 5000000336
A-FIN-LAP-06508,SMC-6508,LAPTOP,DELL ULTRABOOK LATITUDE E7450 CORE I5,D42G3 A00,DELL, LATITUDE E7450,FYP9H72,FINANCE,ADMIN,1ST,OPEN AREA,
A-FIN-DES-00267,SMC-I.T-DES-267,DESKTOP,DELL OPTIPLEX 9010,,DELL,9010,JFL8XX1,FINANCE,ADMIN,1ST,OPEN AREA,
A-CEO-COM-0127,SMC-IT-COM-127,IP PHONE,CISCO CP-DSKCH-7921G,IAC132460QY,CISCO,CP-DSKCH-7921G,,CEO,ADMIN,1ST,9,
A-PRC-AIO-07009,SMC-7005,All in one computer,Dell Optiplex 3240 AIO,CN-08CKHR-74431-68R-0020-A00,Dell,Optiplex 3240 AIO series COREI5,HNR6LG2,PROCURMENT,ADMIN,GROUND,4 PROCUMENT SECTION ,
A-FIN-DES-00382,SMC-I.T-DES-382,DESKTOP,DELL OPTIPLEX 9020,,DELL,9020,H7KH622,FINANCE,ADMIN,1ST,OPEN AREA,Check Asset 5000000336
A-MKT-COM-0724,,IP PHONE,CISCO IP PHONE IP7945,FCH1527AGJ4,CISCO,IP 7945,B8621F6CA37D,MARKETING ,ADMIN,1ST,10,Allocated in 2017 Register
A-FIN-DOC-0700,,DOCKING STATION,DELL DOCKING STATION,T308D A06,DELL,PR03X,,FINANCE,ADMIN,1ST,OPEN AREA,
A-FIN-DOC-0701,,DOCKING STATION,DELL DOCKING STATION,NOCPGHK,DELL,PR03X,,FINANCE,ADMIN,1ST,OPEN AREA,
A-PRC-AIO-07008,SMC-7006,All in one computer,Dell Optiplex 3240 AIO,CN-08CKHR-74431-68R-0105-A00,Dell,Optiplex 3240 AIO series COREI5,HNM7LG2,PROCURMENT,ADMIN,GROUND,4 PROCUMENT SECTION ,
A-MKT-LAP-07502,SMC-7502,LAPTOP,DELL LATITUDE E7470 ULTRA BOOK,W6KMHA00,DELL,LATITUDE E7470 ULTRA BOOK,51K6MC2,MARKETING ,ADMIN,1ST,OPEN AREA,
A-FIN-DOC-0702,,DOCKING STATION,DELL DOCKING STATION,CN-0PDXXF-E2899-58C-00F9-A00,DELL,K07A,,FINANCE,ADMIN,1ST,OPEN AREA,
A-PRC-DOC-0002,SMC-IT-DSR-002,DOCKING STATION,DELL DOCKING STATION,NOCY640,DELL,PRO2X,,PROCURMENT,ADMIN,1ST,OPEN AREA,
A-PRC-AIO-07002,SMC-7002,All in one computer,Dell Optiplex 3240 AIO series COREI5,,Dell,3240,HNRCLG2,PROCURMENT,ADMIN,1ST,OPEN AREA,



